,ISIN,Issue Date,Maturity Date,Coupon,Coupon Start Date,Date Collected,Price,Last Coupon Payment Date,Coupon Periods,Dirty Price,Maturity Period
62,CA135087M847,2021-10-15,2027-03-01,0.0125,2022-03-01,2024-01-10,93.24,2023-09-01,"[51, 235, 416, 600, 781, 965]",93.68863013698629,1146
63,CA135087M847,2021-10-15,2027-03-01,0.0125,2022-03-01,2024-01-11,93.19,2023-09-01,"[50, 234, 415, 599, 780, 964]",93.64205479452055,1145
64,CA135087M847,2021-10-15,2027-03-01,0.0125,2022-03-01,2024-01-12,93.47,2023-09-01,"[49, 233, 414, 598, 779, 963]",93.92547945205479,1144
65,CA135087M847,2021-10-15,2027-03-01,0.0125,2022-03-01,2024-01-15,93.49,2023-09-01,"[46, 230, 411, 595, 776, 960]",93.95575342465753,1141
66,CA135087M847,2021-10-15,2027-03-01,0.0125,2022-03-01,2024-01-16,93.14,2023-09-01,"[45, 229, 410, 594, 775, 959]",93.60917808219178,1140
67,CA135087M847,2021-10-15,2027-03-01,0.0125,2022-03-01,2024-01-17,92.86,2023-09-01,"[44, 228, 409, 593, 774, 958]",93.33260273972603,1139
68,CA135087M847,2021-10-15,2027-03-01,0.0125,2022-03-01,2024-01-18,92.75,2023-09-01,"[43, 227, 408, 592, 773, 957]",93.22602739726027,1138
69,CA135087M847,2021-10-15,2027-03-01,0.0125,2022-03-01,2024-01-19,92.76,2023-09-01,"[42, 226, 407, 591, 772, 956]",93.23945205479453,1137
70,CA135087N837,2022-05-13,2027-09-01,0.0275,2022-09-01,2024-01-08,97.58,2023-09-01,"[53, 237, 418, 602, 783, 967, 1148]",98.55191780821917,1332
71,CA135087N837,2022-05-13,2027-09-01,0.0275,2022-09-01,2024-01-09,97.59,2023-09-01,"[52, 236, 417, 601, 782, 966, 1147]",98.56945205479452,1331
72,CA135087N837,2022-05-13,2027-09-01,0.0275,2022-09-01,2024-01-10,97.6,2023-09-01,"[51, 235, 416, 600, 781, 965, 1146]",98.58698630136986,1330
73,CA135087N837,2022-05-13,2027-09-01,0.0275,2022-09-01,2024-01-11,97.52,2023-09-01,"[50, 234, 415, 599, 780, 964, 1145]",98.5145205479452,1329
74,CA135087N837,2022-05-13,2027-09-01,0.0275,2022-09-01,2024-01-12,97.74,2023-09-01,"[49, 233, 414, 598, 779, 963, 1144]",98.74205479452054,1328
75,CA135087N837,2022-05-13,2027-09-01,0.0275,2022-09-01,2024-01-15,97.77,2023-09-01,"[46, 230, 411, 595, 776, 960, 1141]",98.79465753424657,1325
76,CA135087N837,2022-05-13,2027-09-01,0.0275,2022-09-01,2024-01-16,97.44,2023-09-01,"[45, 229, 410, 594, 775, 959, 1140]",98.47219178082192,1324
77,CA135087N837,2022-05-13,2027-09-01,0.0275,2022-09-01,2024-01-17,97.09,2023-09-01,"[44, 228, 409, 593, 774, 958, 1139]",98.12972602739727,1323
78,CA135087N837,2022-05-13,2027-09-01,0.0275,2022-09-01,2024-01-18,96.96,2023-09-01,"[43, 227, 408, 592, 773, 957, 1138]",98.00726027397259,1322
79,CA135087N837,2022-05-13,2027-09-01,0.0275,2022-09-01,2024-01-19,96.95,2023-09-01,"[42, 226, 407, 591, 772, 956, 1137]",98.00479452054795,1321
80,CA135087P576,2022-10-21,2028-03-01,0.035,2023-03-01,2024-01-08,100.5,2023-09-01,"[53, 237, 418, 602, 783, 967, 1148, 1332]",101.73698630136987,1514
81,CA135087P576,2022-10-21,2028-03-01,0.035,2023-03-01,2024-01-09,100.48,2023-09-01,"[52, 236, 417, 601, 782, 966, 1147, 1331]",101.72657534246576,1513
82,CA135087P576,2022-10-21,2028-03-01,0.035,2023-03-01,2024-01-10,100.44,2023-09-01,"[51, 235, 416, 600, 781, 965, 1146, 1330]",101.69616438356164,1512
83,CA135087P576,2022-10-21,2028-03-01,0.035,2023-03-01,2024-01-11,100.33,2023-09-01,"[50, 234, 415, 599, 780, 964, 1145, 1329]",101.59575342465753,1511
84,CA135087P576,2022-10-21,2028-03-01,0.035,2023-03-01,2024-01-12,100.64,2023-09-01,"[49, 233, 414, 598, 779, 963, 1144, 1328]",101.91534246575343,1510
85,CA135087P576,2022-10-21,2028-03-01,0.035,2023-03-01,2024-01-15,100.67,2023-09-01,"[46, 230, 411, 595, 776, 960, 1141, 1325]",101.97410958904109,1507
86,CA135087P576,2022-10-21,2028-03-01,0.035,2023-03-01,2024-01-16,100.22,2023-09-01,"[45, 229, 410, 594, 775, 959, 1140, 1324]",101.53369863013698,1506
87,CA135087P576,2022-10-21,2028-03-01,0.035,2023-03-01,2024-01-17,99.83,2023-09-01,"[44, 228, 409, 593, 774, 958, 1139, 1323]",101.15328767123287,1505
88,CA135087P576,2022-10-21,2028-03-01,0.035,2023-03-01,2024-01-18,99.66,2023-09-01,"[43, 227, 408, 592, 773, 957, 1138, 1322]",100.99287671232877,1504
89,CA135087P576,2022-10-21,2028-03-01,0.035,2023-03-01,2024-01-19,99.62,2023-09-01,"[42, 226, 407, 591, 772, 956, 1137, 1321]",100.96246575342467,1503
90,CA135087Q491,2023-04-21,2028-09-01,0.0325,2023-09-01,2024-01-08,99.74,2023-09-01,"[53, 237, 418, 602, 783, 967, 1148, 1332, 1514]",100.8886301369863,1698
91,CA135087Q491,2023-04-21,2028-09-01,0.0325,2023-09-01,2024-01-09,99.72,2023-09-01,"[52, 236, 417, 601, 782, 966, 1147, 1331, 1513]",100.87753424657534,1697
92,CA135087Q491,2023-04-21,2028-09-01,0.0325,2023-09-01,2024-01-10,99.72,2023-09-01,"[51, 235, 416, 600, 781, 965, 1146, 1330, 1512]",100.88643835616438,1696
93,CA135087Q491,2023-04-21,2028-09-01,0.0325,2023-09-01,2024-01-11,99.55,2023-09-01,"[50, 234, 415, 599, 780, 964, 1145, 1329, 1511]",100.72534246575343,1695
94,CA135087Q491,2023-04-21,2028-09-01,0.0325,2023-09-01,2024-01-12,99.88,2023-09-01,"[49, 233, 414, 598, 779, 963, 1144, 1328, 1510]",101.06424657534247,1694
95,CA135087Q491,2023-04-21,2028-09-01,0.0325,2023-09-01,2024-01-15,99.91,2023-09-01,"[46, 230, 411, 595, 776, 960, 1141, 1325, 1507]",101.12095890410959,1691
96,CA135087Q491,2023-04-21,2028-09-01,0.0325,2023-09-01,2024-01-16,99.44,2023-09-01,"[45, 229, 410, 594, 775, 959, 1140, 1324, 1506]",100.65986301369863,1690
97,CA135087Q491,2023-04-21,2028-09-01,0.0325,2023-09-01,2024-01-17,98.99,2023-09-01,"[44, 228, 409, 593, 774, 958, 1139, 1323, 1505]",100.21876712328766,1689
98,CA135087Q491,2023-04-21,2028-09-01,0.0325,2023-09-01,2024-01-18,98.81,2023-09-01,"[43, 227, 408, 592, 773, 957, 1138, 1322, 1504]",100.04767123287671,1688
99,CA135087Q491,2023-04-21,2028-09-01,0.0325,2023-09-01,2024-01-19,98.77,2023-09-01,"[42, 226, 407, 591, 772, 956, 1137, 1321, 1503]",100.01657534246576,1687
